rx,ry,rz,lx,ly,lz
5.333587716205152418e+01,2.893414727234818997e+02,8.756642724320629441e+02,2.102500405460357911e+02,3.070130240422820975e+02,8.741663918842341445e+02
3.860139247404590179e+01,2.956987007692179077e+02,8.766105030167041150e+02,2.188565604139941740e+02,3.050577654516295638e+02,8.659695928665420297e+02
6.039454088626940376e+01,2.989259782647469592e+02,8.756344384308075632e+02,1.903441643933183798e+02,2.885711231793091542e+02,8.861799033693051797e+02
5.225256536382564576e+01,3.058160814225537933e+02,8.746951308556955382e+02,2.212146159353806354e+02,3.140270906412188197e+02,8.427754148125053462e+02
4.783475801655914950e+01,3.027458019912768350e+02,8.592781619522434085e+02,2.284318717941832801e+02,3.022134094066303192e+02,8.799993557330847125e+02
4.501158540578110490e+01,3.073933283310153115e+02,8.748478414502995975e+02,2.049610413385581182e+02,2.912127520874564652e+02,8.692079192918547506e+02
4.487704279039015631e+01,3.142538466832157269e+02,8.600920094782559318e+02,2.100923700733493718e+02,2.924219825249514315e+02,8.715454558199469375e+02
4.000837716230187624e+01,3.027111966393100602e+02,8.400457394542639804e+02,2.221189791976755998e+02,2.826900714830621268e+02,8.595440862767009094e+02
3.976998098634035728e+01,3.177894500270948015e+02,8.859033436006518514e+02,2.199551310481532767e+02,3.063850705969701380e+02,8.698704283522470178e+02
3.289909191459004489e+01,3.122657824418162704e+02,8.901779306444282156e+02,2.217756282570373969e+02,2.823339302675405520e+02,8.711492633913937880e+02
5.044964596223486097e+01,3.100883481548193572e+02,8.536981958093106186e+02,2.021478474682652973e+02,3.016246431715263157e+02,8.771004128143787284e+02
5.078741910554047223e+01,2.973804888301958727e+02,8.593830274790509520e+02,2.141669424467143301e+02,2.887971042245252420e+02,8.579176782789003255e+02
3.417298291943371424e+01,2.957527626101748410e+02,8.751983739460526976e+02,2.264214762104027443e+02,3.071332708191253005e+02,8.599558506126924158e+02
4.682746266477627017e+01,3.029824686593786396e+02,8.740948585560782931e+02,2.104087848931455653e+02,3.132850540071680712e+02,8.537497595883990016e+02
6.388132721071720965e+01,3.269466295958721958e+02,8.708371678877736031e+02,2.040849914441491819e+02,3.287886725838339430e+02,8.624247272831595410e+02
3.388872739746935281e+01,3.134533216478749296e+02,8.550108398590101615e+02,2.272067773390301113e+02,2.960710391938673069e+02,8.659840327839747260e+02
6.335877476433678623e+01,2.906428719389015214e+02,8.707421528077561561e+02,2.171456936059430234e+02,2.947304320153955928e+02,8.715377166043148236e+02
5.830985015040288033e+01,2.952002222638962508e+02,8.869409251806514476e+02,2.083578548725851078e+02,3.128449108668212375e+02,8.782815613456975825e+02
4.360485606453001139e+01,2.960748311648073354e+02,8.960171712230810499e+02,2.228275644070947124e+02,2.948461358954570528e+02,8.638232885810488142e+02
6.522081676151702823e+01,2.828901978758902942e+02,8.677042041625869615e+02,2.201317789104824385e+02,2.862446914449823225e+02,8.619154120899248710e+02
6.313144975407772108e+01,3.043685909350021461e+02,8.848401588509000248e+02,2.256469233003747945e+02,2.854146741385976611e+02,8.696673648360260813e+02
2.852749805326929078e+01,2.975025324560751301e+02,8.746779348952217106e+02,2.036271739204538278e+02,3.111984342869433249e+02,8.738722946173002128e+02
4.842713820503148270e+01,2.995178302157084431e+02,8.634136934838446678e+02,2.106467122515592507e+02,3.159138169527353170e+02,8.799333468353870558e+02
5.473938999324738575e+01,3.085305102794275740e+02,8.760149518944824649e+02,2.092302658658383621e+02,2.898734580101839811e+02,8.763710746585525158e+02
5.487002118035309906e+01,2.919988800590475080e+02,8.749899402032044691e+02,2.223266558250374771e+02,3.034622726526777683e+02,8.860494869393121462e+02
4.348375621203932440e+01,3.044359166716393474e+02,8.780008119602695160e+02,2.108396094778142924e+02,2.876569335745766693e+02,8.700102709471722164e+02
4.835461166454316384e+01,3.144901437401314297e+02,8.645851648511937810e+02,2.155689766976489068e+02,3.059689331099133938e+02,8.724354591452057548e+02
5.280765083607678179e+01,3.057507257286303570e+02,8.615722995310437682e+02,2.033857022227065841e+02,2.965781408230081979e+02,8.655432192809622620e+02
5.437663496027762733e+01,2.958207282078848834e+02,8.583979504140721701e+02,2.331945624203201533e+02,3.038731038397230577e+02,8.631698153529295041e+02
4.704780012272364331e+01,3.072742427633573925e+02,8.714136266146533671e+02,2.141620473487645882e+02,3.016200379271259067e+02,8.621868105105055520e+02
4.908811599792562674e+01,2.983975430519934093e+02,8.712155324578924365e+02,2.135026573689609108e+02,3.079470664084082046e+02,8.628679779794578053e+02
5.904191387678250180e+01,3.063427394147078076e+02,8.784664936258493526e+02,2.076163331993876966e+02,3.007239914641281189e+02,8.802159031792253927e+02
5.121384770646818652e+01,3.022307672910690144e+02,8.493818603030744043e+02,2.179757870677213702e+02,3.055714699113158304e+02,8.461718318070122677e+02
6.724618924485864113e+01,3.319176853317734412e+02,8.597964429545140774e+02,2.127536842296290445e+02,2.954104070095339694e+02,8.776264088789899915e+02
3.941506541855910228e+01,2.903681494355056429e+02,8.718611203662508160e+02,2.236006126027086793e+02,2.895173543105047997e+02,8.785488263756571996e+02
5.139229103457579129e+01,3.157881304154616373e+02,8.597012986751971084e+02,2.074364277461715460e+02,3.126297211916797210e+02,8.476951260840801297e+02
5.197431433164970116e+01,3.110446863948861846e+02,8.581734909171767640e+02,2.119650071446672257e+02,3.024148895187299217e+02,8.794026284444975090e+02
4.330726712448154814e+01,2.933281980408644358e+02,8.683640095540980610e+02,2.063281739028596178e+02,2.959572349848621684e+02,8.827918805661244050e+02
5.939772503796409353e+01,3.019024330780404739e+02,8.818924491577963636e+02,2.012139042771571269e+02,2.780101102882759960e+02,8.612130572313066068e+02
4.239391918626055400e+01,2.943523778102028245e+02,8.804303071412161898e+02,2.175593785666028737e+02,3.107758803373804994e+02,8.713175011615689982e+02
5.018595824999378152e+01,3.024884395319246551e+02,8.620504466371949093e+02,2.481251525184126194e+02,3.088155332441208998e+02,8.659668326314566684e+02
4.758134541384102789e+01,2.856783921837584330e+02,8.582613107321081998e+02,2.107280683555015344e+02,3.067837610195473417e+02,8.708049674218532346e+02
4.487116694693442298e+01,2.997060606206555917e+02,8.681048760775175879e+02,2.131206407443951321e+02,2.859640676399170616e+02,8.800901966619587711e+02
3.400506041357638054e+01,2.839350229920927404e+02,8.686284617835590325e+02,2.170510502327978202e+02,3.019777386800957402e+02,8.700216478442767993e+02
7.438559297147763516e+01,3.016976696741736532e+02,8.666229275105880561e+02,2.089150926907112478e+02,3.010101694629667008e+02,8.562332506138484405e+02
5.765581449494927568e+01,3.045723441676683478e+02,8.790466582781590432e+02,2.332518582780773500e+02,3.121370702405279189e+02,8.772629457559324919e+02
5.479552318140852663e+01,3.022155148949433965e+02,8.694085464661924334e+02,2.118865386342724833e+02,3.013875044648202675e+02,8.727721003894110936e+02
5.435509874991123525e+01,3.124173721738767426e+02,8.924726680232297440e+02,2.295563800022361534e+02,3.127247419441865759e+02,8.722238015223505272e+02
3.835022421679182258e+01,3.042900003851099768e+02,8.612023132436899004e+02,2.095572286862380054e+02,2.908036307532283331e+02,8.713156500415715300e+02
4.064495398712146113e+01,3.062997037676815921e+02,8.693286267582767550e+02,2.200874822959026460e+02,3.078264582888453447e+02,8.764170220921719192e+02
4.733088302084897947e+01,2.877542054702187215e+02,8.663456104719897439e+02,2.275740438667276351e+02,2.939291749784111971e+02,8.696805780403138897e+02
5.776826840946341690e+01,3.067344949543360713e+02,8.775164864511641554e+02,2.199140177105028044e+02,2.962578287002722846e+02,8.726195172941294231e+02
5.314917382659501044e+01,3.084887116846606432e+02,8.737741223852141275e+02,2.291723009380261544e+02,3.062118501106779718e+02,8.640016874000892813e+02
5.031944898863723381e+01,2.996552921302654227e+02,8.708715642814564717e+02,2.127682018949447524e+02,3.029001075196617307e+02,8.699144511271024385e+02
4.033768208375673936e+01,3.033764254600919799e+02,8.626589487359293571e+02,2.157014500022590084e+02,2.947809309380110108e+02,8.808457264165248262e+02
6.220637029842858823e+01,3.182094904790466217e+02,8.653337928354134192e+02,2.266019867798629264e+02,2.944377542829276422e+02,8.680880582484169281e+02
3.949218141715086716e+01,3.233224504526407372e+02,8.624412800721960366e+02,2.242129652210840334e+02,3.010366615368782277e+02,8.649186125853568683e+02
5.315201125307672925e+01,3.232800685557382394e+02,8.673371834142515127e+02,2.177564171074621697e+02,2.926035097185675795e+02,8.706476228476375354e+02
4.913832019351308844e+01,2.934195673761703915e+02,8.653307998694032221e+02,2.240098975510958041e+02,3.020885933149710922e+02,8.682414993007304247e+02
5.321326183285577116e+01,3.099163233143466982e+02,8.653540481637368202e+02,2.067836370780883612e+02,3.087122324735032066e+02,8.713550038942208857e+02
3.963878712648590152e+01,3.087053814887618728e+02,8.754408186103701155e+02,2.240494293156552885e+02,3.083777300568894475e+02,8.500230484782695157e+02
4.355363689511693792e+01,3.191132998443455335e+02,8.631312856215159854e+02,2.232342203497610740e+02,2.730949648043117008e+02,8.665790767075327494e+02
5.690905397893997986e+01,2.948487502571541654e+02,8.889559483556047326e+02,2.227400290653300203e+02,3.114946486289276777e+02,8.826136335613958863e+02
4.886594860945960050e+01,2.803411136147553862e+02,8.656057044607866828e+02,2.274348755025179116e+02,2.854408977969352463e+02,8.693324335907988143e+02
5.148754631469932974e+01,2.876084133492290675e+02,8.693163472216446053e+02,1.993480781739242786e+02,2.824120108537584883e+02,8.564805710356515647e+02
5.994234869850559022e+01,3.005422802061768266e+02,8.727137668225564084e+02,2.256554637985860836e+02,2.922660006190596960e+02,8.776827060237043270e+02
6.410536475216251517e+01,3.064925517777739401e+02,8.613905439634356753e+02,2.058015874920784825e+02,2.956586495935997618e+02,8.627826310956121461e+02
4.371396998237651133e+01,3.042461481529200000e+02,8.742412624739685043e+02,2.089536794751697357e+02,3.018058094856809817e+02,8.749749802755388828e+02
5.543840587797361508e+01,3.123704246601608361e+02,8.710534995356053969e+02,2.103314899260895174e+02,3.109892194847591327e+02,8.845017015688453057e+02
4.494861188207032399e+01,3.120607883615709284e+02,8.553705584830044018e+02,2.120613148121632889e+02,2.981815469880040155e+02,8.667597735099308238e+02
3.687871202558660855e+01,2.940767328913020151e+02,8.722678790890053051e+02,2.081812097215142501e+02,2.883250267786959853e+02,8.833571371402962313e+02
5.006119581215526892e+01,2.932540970855441174e+02,8.644728183256950160e+02,2.256661174574720690e+02,3.010553941728168184e+02,8.755076668286974382e+02
3.785009756627171384e+01,3.148817478432713415e+02,8.711144839521726908e+02,2.013600954722988092e+02,2.923678246210236580e+02,8.497259468404924974e+02
4.301372044758610258e+01,3.069025014248442744e+02,8.556582350794326430e+02,2.121052507684780437e+02,3.003771132117644242e+02,8.510900397268140978e+02
4.742857550527291011e+01,3.076682994377381988e+02,8.654327677627757112e+02,2.039423062786517562e+02,2.866252518906244973e+02,8.640126648470326245e+02
5.401824249091652774e+01,2.811873464087002503e+02,8.781444437007727402e+02,2.134790546651793193e+02,3.048780801182772393e+02,8.626451747487195689e+02
6.248910098306397032e+01,3.011251977259190653e+02,8.813353659387670405e+02,2.065347756556671470e+02,3.020824679018247707e+02,8.753192559241044819e+02
4.835339525607769673e+01,2.912815829912771051e+02,8.706485151221816068e+02,2.020333022321255498e+02,2.945965123912470176e+02,8.874997541365587495e+02
6.469464680262768752e+01,3.015132246408452943e+02,8.761181767168627630e+02,2.106362833627283919e+02,3.045783103739280477e+02,8.692697854097966683e+02
3.769164932906033982e+01,3.259437745236035084e+02,8.593348339731713850e+02,2.196735403278798913e+02,3.164384081183804938e+02,8.603575725062426045e+02
3.955669721354223611e+01,2.714555712640710681e+02,8.759144460051855958e+02,2.043765230112768165e+02,2.944070299709671872e+02,8.699146825000383387e+02
3.839039588168977701e+01,3.011937475813694505e+02,8.694731178617324758e+02,1.963451816050819048e+02,2.934745595970573504e+02,8.817110111481763397e+02
4.938908919721416879e+01,3.104555316044643973e+02,8.670652021628571902e+02,2.051153427773597002e+02,3.002136904325835189e+02,8.922371307243989804e+02
4.657781538658333176e+01,2.906756397612643923e+02,8.679501277639111549e+02,2.060460199940719690e+02,3.098316589012615054e+02,8.651842474878997109e+02
5.122287664396250051e+01,2.953853727248985592e+02,8.595913845396395345e+02,2.190906261887077449e+02,3.240211408106184763e+02,8.691192935077032189e+02
5.307287266014314042e+01,2.872010718963257432e+02,8.926217780854655075e+02,2.006293587769035298e+02,2.981157280008068255e+02,8.645203327086352374e+02
5.644541518764671650e+01,3.000436362273423470e+02,8.656206509826256479e+02,2.061789282408288386e+02,2.918333472465348564e+02,8.657632105299333034e+02
6.363312064334053275e+01,3.152104379941679326e+02,8.779753177561660777e+02,2.131076809008579005e+02,3.008565782110924260e+02,8.707466545830620817e+02
3.981317767733898449e+01,3.037307802124989848e+02,8.560016540098366704e+02,2.050930605817291337e+02,3.079519383419436735e+02,8.807165011987829075e+02
3.450318174127824022e+01,2.952822004964985467e+02,8.839619919338797445e+02,2.205803811718997167e+02,2.979427534111699742e+02,8.781785606100914947e+02
6.204095625026674554e+01,2.953303999484981546e+02,8.628919538207821915e+02,2.307982027463422980e+02,2.980080042963318192e+02,8.536308768789040187e+02
7.877642942530860637e+01,3.248924992028520933e+02,8.710227419096090671e+02,2.051263450436957214e+02,3.053569619301613898e+02,8.685730271159342237e+02
5.564790762032646398e+01,2.905251123519575458e+02,8.723377331178804752e+02,2.048100610453321906e+02,3.008617622232233089e+02,8.724820063617157757e+02
5.307233958925650086e+01,2.939078901445697625e+02,8.609686591219234515e+02,2.190408342873252536e+02,3.065269315005821227e+02,8.644774807004926060e+02
7.518808042744230136e+01,2.936090959311684401e+02,8.811466013965299453e+02,2.273629779820890064e+02,3.006640398558768084e+02,8.760306605634400512e+02
5.718872298227023521e+01,2.933624467114902359e+02,8.708921533928627241e+02,2.241716274759544376e+02,3.169889740151480737e+02,8.594922590990067874e+02
2.766440355480881763e+01,2.994705958924366200e+02,8.709899007355987806e+02,2.204753939246393202e+02,2.977822996305934566e+02,8.662568895954194659e+02
4.730423952269292442e+01,3.007870442939940858e+02,8.698783431049072306e+02,2.187417531755073128e+02,3.066288232753189504e+02,8.696773351739196869e+02
5.101466614744279582e+01,2.952390817505551581e+02,8.666628051081762578e+02,2.054071369728977174e+02,2.923064967614367902e+02,8.724808116709381238e+02
5.600767186623109239e+01,3.001253448743939316e+02,8.800271297701033291e+02,2.151727590628905773e+02,2.994298954980230860e+02,8.753945286319095658e+02
4.852272020571554378e+01,2.970023471070022651e+02,8.464921315600241769e+02,2.229565114369577543e+02,2.841543312462796962e+02,8.797275470628690073e+02
3.660868371921723252e+01,2.942239823446244600e+02,8.888215819700952807e+02,2.132374036599012754e+02,2.800120552690324303e+02,8.709366068546257793e+02
6.535175035743156968e+01,3.088426232750492204e+02,8.783671710683223637e+02,2.165947658369612441e+02,2.974468283599395590e+02,8.790461666925576765e+02
5.669116662339098411e+01,2.989769847675460710e+02,8.720162208010555105e+02,1.950539617587802468e+02,2.999158184648617862e+02,8.683499986005284654e+02
5.930717333224315979e+01,2.880335509495078554e+02,8.719490092878098721e+02,2.137766955100512689e+02,2.885215209265110730e+02,8.694077623726753927e+02
7.075769264112854273e+01,3.103624118109663073e+02,8.776288970032582029e+02,2.183052282883508894e+02,2.857734056320089167e+02,8.861344240164648909e+02
5.866866915682147265e+01,2.984173715375148390e+02,8.619723728564597423e+02,2.158602286790192011e+02,2.953577052609071529e+02,8.766133398278117284e+02
5.496472526044352946e+01,2.967086820605962885e+02,8.682049564165170068e+02,2.185712772548994849e+02,3.066054725593603507e+02,8.855029113846044311e+02
4.197873885025279606e+01,2.906526109294763387e+02,8.659283055032518632e+02,2.020864964678732747e+02,2.954868168342661079e+02,8.628496943496587619e+02
5.398793532192313904e+01,3.008820795104871877e+02,8.477253097758566582e+02,2.279061036634165589e+02,2.837628475077792132e+02,8.716674896012959834e+02
4.716937691362061713e+01,3.017144540338251204e+02,8.836082772816755551e+02,2.159976797729618170e+02,3.009990957749413383e+02,8.727456006680699829e+02
4.464627452672863228e+01,2.847545520014660383e+02,8.698806794865922711e+02,2.141591146640060401e+02,2.971170376921273260e+02,8.661045731271132126e+02
4.222161282534784732e+01,3.097927874497507901e+02,8.716397505707179789e+02,2.043855629449338949e+02,2.844151573271176972e+02,8.903900503713398393e+02
4.786309068424507274e+01,3.002255987668783632e+02,8.683510889238581285e+02,2.179753383165121647e+02,2.869113632823971329e+02,8.667138394256126048e+02
4.100934214546865775e+01,2.982454038593456289e+02,8.746719111546605063e+02,2.357178345133964399e+02,2.987597861114577995e+02,8.585647515745702094e+02
